continent_name,continent_code,country_name,iso3
Asia,AS,"Vietnam, Socialist Republic of",VNM
Europe,EU,"Slovenia, Republic of",SVN
Africa,AF,"Somalia, Somali Republic",SOM
Africa,AF,"South Africa, Republic of",ZAF
Africa,AF,"Zimbabwe, Republic of",ZWE
Europe,EU,"Spain, Kingdom of",ESP
Africa,AF,South Sudan,SSD
Africa,AF,Western Sahara,ESH
Africa,AF,"Sudan, Republic of",SDN
South America,SA,"Suriname, Republic of",SUR
Europe,EU,Svalbard & Jan Mayen Islands,SJM
Africa,AF,"Swaziland, Kingdom of",SWZ
Europe,EU,"Sweden, Kingdom of",SWE
Europe,EU,"Switzerland, Swiss Confederation",CHE
Asia,AS,Syrian Arab Republic,SYR
Asia,AS,"Tajikistan, Republic of",TJK
Asia,AS,"Thailand, Kingdom of",THA
Africa,AF,"Togo, Togolese Republic",TGO
Oceania,OC,Tokelau,TKL
Oceania,OC,"Tonga, Kingdom of",TON
North America,NA,"Trinidad and Tobago, Republic of",TTO
Asia,AS,United Arab Emirates,ARE
Africa,AF,"Tunisia, Tunisian Republic",TUN
Europe,EU,"Turkey, Republic of",TUR
Asia,AS,"Turkey, Republic of",TUR
Asia,AS,Turkmenistan,TKM
North America,NA,Turks and Caicos Islands,TCA
Oceania,OC,Tuvalu,TUV
Africa,AF,"Uganda, Republic of",UGA
Europe,EU,Ukraine,UKR
Europe,EU,"Macedonia, The Former Yugoslav Republic of",MKD
Africa,AF,"Egypt, Arab Republic of",EGY
Europe,EU,United Kingdom of Great Britain & Northern Ireland,GBR
Europe,EU,"Guernsey, Bailiwick of",GGY
Europe,EU,"Jersey, Bailiwick of",JEY
Europe,EU,Isle of Man,IMN
Africa,AF,"Tanzania, United Republic of",TZA
North America,NA,United States of America,USA
North America,NA,United States Virgin Islands,VIR
Africa,AF,Burkina Faso,BFA
South America,SA,"Uruguay, Eastern Republic of",URY
Asia,AS,"Uzbekistan, Republic of",UZB
South America,SA,"Venezuela, Bolivarian Republic of",VEN
Oceania,OC,Wallis and Futuna,WLF
Oceania,OC,"Samoa, Independent State of",WSM
Asia,AS,Yemen,YEM
Africa,AF,"Zambia, Republic of",ZMB
Oceania,OC,Disputed Territory,NA
Asia,AS,Iraq-Saudi Arabia Neutral Zone,NA
Asia,AS,United Nations Neutral Zone,NA
Asia,AS,Spratly Islands,NA
